"Paper","Property_reg","Geopol_c_a","C_study_geo","Year","seed","farmer","variety","plant","right","food","crop","system","genetic","resource","country","patent","breeding","community","protection","breeder","local","production","agricultural","law","development","state","company","public","property","research","common","agriculture","market","access","government","international","technology","national","knowledge","gene","material","product","traditional","sector","policy","process","benefit","intellectual","sovereignty","practice","legal","maize","private","diversity","people","world","land","cultivar","developing","upov","security","agreement","wheat","global","cluster"
"36_limpio.txt","Common","Africa","Africa",2017,7,20,0,0,1,3,9,19,0,5,0,0,0,0,0,0,2,52,4,0,1,2,0,0,0,3,5,4,3,25,1,0,1,1,5,0,1,0,6,0,1,4,0,0,0,19,0,0,0,3,1,0,19,0,1,0,2,2,0,0,"1"
"37_limpio.txt","Common","Western Europe","Global",2017,53,36,21,107,6,49,155,36,77,42,15,6,89,18,8,18,20,29,21,2,11,7,2,24,10,27,14,31,11,19,5,28,20,22,42,91,13,10,12,6,20,23,9,5,1,28,9,5,12,46,20,30,28,2,6,4,10,2,11,46,"4"
"38_limpio.txt","Common","Western Europe","Africa",2017,20,54,4,21,4,32,12,5,3,1,20,0,4,4,0,18,21,10,12,0,10,2,5,17,0,6,0,19,3,0,4,19,13,3,4,0,0,4,4,3,49,3,5,0,6,1,2,6,3,0,5,0,2,0,3,0,15,0,0,2,"1"
"39_limpio.txt","Common","Western Europe","Global",2017,40,25,30,55,5,12,3,35,24,24,8,27,35,10,10,7,5,1,5,1,1,2,7,10,11,17,21,5,3,7,4,9,2,1,15,1,9,1,3,3,2,1,14,7,5,11,2,0,3,14,1,3,1,2,5,1,5,8,0,22,"3"
"40_limpio.txt","Private/State","Africa","Global",2018,50,24,51,71,50,16,38,17,14,6,46,44,3,1,29,12,4,9,4,13,11,7,16,16,16,16,3,5,1,3,3,4,13,3,3,16,13,16,2,1,4,3,11,11,0,3,3,1,5,2,3,10,4,0,21,24,3,6,0,2,"3"
"41_limpio.txt","State","LAC","LAC",2018,22,9,2,18,9,1,6,4,8,1,5,0,9,1,73,7,1,4,3,8,5,1,4,9,4,8,3,1,3,0,0,4,0,3,4,0,4,3,1,8,0,11,1,3,0,0,4,0,9,1,0,0,0,108,1,13,0,0,0,1,"3"
"42_limpio.txt","Common","Western Europe","Global",2018,1,7,1,0,16,105,3,7,0,2,5,0,0,6,1,0,9,4,15,1,4,1,1,0,2,0,1,27,3,4,4,5,2,0,4,0,0,1,22,0,4,3,0,1,30,7,4,0,0,0,12,16,10,0,10,0,8,2,0,5,"3"
"43_limpio.txt","Private/State","Asia-Pacific","Asia-Pacific",2018,40,16,145,54,38,5,10,4,5,1,4,8,7,3,22,27,4,4,0,6,3,4,1,8,1,4,3,3,3,0,1,4,3,5,1,8,28,1,5,3,0,7,7,0,0,3,0,0,1,0,0,0,0,0,2,23,3,5,2,0,"3"
"44_limpio.txt","Private/State","Western Europe","Asia-Pacific",2018,128,19,18,3,3,4,58,0,0,0,11,0,1,0,2,1,0,7,6,1,3,5,17,17,1,10,0,3,27,6,10,2,2,5,0,0,0,1,1,91,49,1,1,1,0,3,0,41,68,0,0,0,0,6,1,0,4,0,23,0,"2"
"45_limpio.txt","Common/State","Asia-Pacific","Asia-Pacific",2018,44,82,25,13,13,163,102,63,5,23,5,1,1,59,7,0,49,41,9,4,4,14,0,8,5,11,4,27,15,13,1,3,1,9,19,0,3,8,53,4,16,3,3,0,24,10,0,0,1,46,14,5,9,8,3,0,14,0,13,4,"1"
"46_limpio.txt","Common/State","Asia-Pacific","Global",2018,120,91,25,3,1,8,27,12,6,17,4,0,5,30,0,0,36,7,2,0,11,0,1,1,0,3,4,13,4,10,7,0,3,9,7,6,2,1,6,2,5,5,4,0,0,4,0,0,1,19,1,0,3,0,1,0,6,0,0,1,"1"
"47_limpio.txt","Common/State","Western Europe","Global",2019,113,14,12,36,21,8,3,10,12,15,12,19,4,12,10,9,10,1,7,1,1,8,6,2,6,6,0,2,0,16,1,9,1,4,7,1,9,3,10,0,2,0,10,2,2,0,3,0,0,3,14,3,3,0,1,0,0,34,1,1,"1"
"48_limpio.txt","Common/State","Africa","Africa",2019,59,76,46,46,51,34,7,15,13,17,10,9,9,6,20,25,8,9,11,1,9,52,2,2,9,5,1,10,2,2,0,12,2,3,3,0,17,4,13,7,1,1,2,9,0,12,23,1,8,1,0,1,1,0,6,47,20,8,0,1,"3"
"49_limpio.txt","Common/State","Africa","Mixed",2019,61,82,94,113,88,172,7,15,13,16,29,2,5,6,37,35,21,20,15,57,5,8,0,9,70,3,1,12,3,17,14,13,2,32,9,0,17,3,11,1,7,11,6,71,114,11,16,0,1,3,10,12,2,0,1,14,9,17,0,1,"3"
"50_limpio.txt","Open_source","Western Europe","Western Europe",2020,271,65,62,57,38,18,14,30,16,27,5,19,51,47,8,89,17,5,1,31,5,13,21,24,19,9,105,4,9,16,1,3,3,0,30,13,15,5,11,13,2,8,4,34,16,33,16,3,11,7,29,9,14,8,7,8,3,10,5,15,"1"
"51_limpio.txt","Common","Western Europe","Global",2020,49,13,4,29,3,20,14,2,2,4,5,4,0,6,1,0,2,4,1,2,2,0,9,3,4,0,0,7,2,0,1,0,5,0,3,0,0,5,5,0,0,0,0,3,0,1,0,0,1,1,11,14,1,0,0,0,0,2,2,5,"1"
"52_limpio.txt","Common","Western Europe","Global",2020,254,73,54,63,94,30,22,20,26,24,44,37,6,20,19,17,11,11,10,46,9,30,10,24,26,6,27,10,11,9,16,26,13,19,11,15,11,2,8,0,7,10,11,19,29,10,26,1,6,6,14,11,4,1,1,40,4,22,0,34,"3"
